#Hipp	logP	Mw	sigmaMw	LK-corr	pi	pierr	V-I	mH	sigmaR16
11767	0.754	-5.08	0.03	 0.00	7.720	0.120	0.00	0.000	0.000	
13367	0.440	-4.18	0.28	-0.13	2.570	0.330	0.97	4.258	0.290			
26069	0.993	-5.72	0.09	-0.02	3.260	0.140	0.95	2.103	0.123
30827	0.572	-4.35	0.18	-0.06	2.310	0.190	0.73	4.025	0.196
34088	1.006	-5.98	0.10	-0.02	2.740	0.120	0.97	2.274	0.124
47854	1.551	-7.70	0.17	-0.05	2.030	0.160	1.34	1.302	0.189
61136	0.678	-4.63	0.29	-0.15	2.230	0.300	0.79	4.020	0.303
87072	0.846	-5.22	0.10	-0.02	3.170	0.140	1.06	2.691	0.125
88567	0.880	-5.62	0.18	-0.06	2.300	0.190	0.96	2.980	0.196
89968	0.761	-5.13	0.30	-0.15	2.130	0.290	1.11	3.778	0.306
93124	0.650	-4.66	0.13	-0.03	2.640	0.160	0.99	3.640	0.154
102949	0.647	-4.43	0.23	-0.09	2.060	0.220	0.78	4.323	0.245
104185	0.550	-4.15	0.33	-0.18	2.190	0.330	0.68	4.523	0.337
110991	0.730	-5.05	0.07	-0.01	3.710	0.120	0.87	2.450	0.106
000000  1.006	-5.92	0.29	-0.04	0.428	0.054	1.38	6.491	0.285
111111	1.092	-6.02	0.25	-0.04 	0.348	0.038	1.66	6.952	0.250
