 # Number of iterations in MCMC :       100000
 # Weight   -ln(L/L_{max})    A    bw 
          13  -83.794675095281647        12.556390762329102       -3.2521400451660156     
           1  -83.369458568889200        12.554261207580566       -3.2833979129791260     
           3  -83.532814931372897        12.566816329956055       -3.2561056613922119     
           1  -83.376629339913933        12.539777755737305       -3.2266325950622559     
           2  -83.409368772194497        12.567830085754395       -3.2776792049407959     
           2  -83.806110899277911        12.553791999816895       -3.2463304996490479     
           1  -83.184700482364917        12.540887832641602       -3.1886739730834961     
           1  -83.225882299617126        12.541547775268555       -3.1900465488433838     
           1  -82.775197468000755        12.542125701904297       -3.1684691905975342     
           2  -82.591194061715925        12.551201820373535       -3.3063156604766846     
           3  -81.843928889997670        12.522838592529297       -3.1880092620849609     
           1  -82.422118600408282        12.545960426330566       -3.1574528217315674     
           6  -83.269129687638966        12.537852287292480       -3.2185552120208740     
           1  -83.508849304948200        12.545577049255371       -3.2036709785461426     
           1  -83.170677553427097        12.572000503540039       -3.2492511272430420     
           1  -82.842433590067259        12.575155258178711       -3.2444381713867188     
           2  -83.171163437720367        12.564211845397949       -3.2110664844512939     
           1  -83.698816110851254        12.559899330139160       -3.2322704792022705     
           9  -83.218817934602981        12.553845405578613       -3.1907305717468262     
           1  -82.708873530287661        12.578421592712402       -3.2655725479125977     
           1  -82.804916983444400        12.577610015869141       -3.2734124660491943     
           1  -83.094041322226190        12.537401199340820       -3.2409033775329590     
           2  -80.962798620778074        12.517077445983887       -3.1650123596191406     
           2  -80.823930675678525        12.515319824218750       -3.1832625865936279     
           1  -81.580326206357512        12.556863784790039       -3.1490900516510010     
           2  -83.534327835657180        12.547953605651855       -3.2034199237823486     
           1  -82.973544128336755        12.575605392456055       -3.2692792415618896     
           3  -82.755909621369881        12.549012184143066       -3.2969782352447510     
           2  -82.180984308523435        12.570955276489258       -3.3323736190795898     
           5  -83.043656703854950        12.568594932556152       -3.3016695976257324     
           1  -83.561986614173364        12.565571784973145       -3.2674903869628906     
           1  -83.305191641833247        12.567559242248535       -3.2878086566925049     
           2  -83.275462256934503        12.557797431945801       -3.2919440269470215     
           3  -83.461813510742076        12.561980247497559       -3.2195816040039063     
           2  -83.496923599290767        12.565394401550293       -3.2768225669860840     
           2  -83.754836417634863        12.554651260375977       -3.2572209835052490     
           2  -83.164569666944288        12.539950370788574       -3.2509918212890625     
           2  -82.373330557215382        12.545941352844238       -3.1560626029968262     
           7  -83.817120601751498        12.555107116699219       -3.2412426471710205     
           4  -83.465072361625673        12.541645050048828       -3.2323722839355469     
           2  -83.270041854305035        12.544017791748047       -3.1894764900207520     
           2  -83.316363695244377        12.551479339599609       -3.1923995018005371     
           1  -83.526198529112293        12.556554794311523       -3.2780313491821289     
           1  -82.772336361502198        12.570650100708008       -3.3117015361785889     
           1  -83.087711678084247        12.573092460632324       -3.2498993873596191     
           5  -83.139425433780715        12.551716804504395       -3.1851201057434082     
           3  -83.799149866270014        12.553075790405273       -3.2316191196441650     
           7  -83.808645197929167        12.553968429565430       -3.2459118366241455     
           2  -81.944486669112081        12.578231811523438       -3.3322997093200684     
           3  -83.368640262142463        12.539671897888184       -3.2270269393920898     
           2  -83.678688331049045        12.546260833740234       -3.2269001007080078     
           1  -81.526038956738404        12.533710479736328       -3.2878837585449219     
           2  -80.920155099213375        12.525066375732422       -3.2688667774200439     
           1  -80.406412613054869        12.517169952392578       -3.1343894004821777     
           1  -80.903694854860191        12.518844604492188       -3.1479351520538330     
           1  -82.802081572990062        12.539282798767090       -3.1715779304504395     
           1  -83.741293973836804        12.551050186157227       -3.2217264175415039     
           4  -82.225925591399005        12.526743888854980       -3.1828372478485107     
           1  -82.606212504487956        12.538251876831055       -3.1647346019744873     
           1  -83.609455072161950        12.548940658569336       -3.2088215351104736     
           3  -83.405115424096124        12.542428970336914       -3.2459979057312012     
           1  -83.320239968752901        12.538707733154297       -3.2222132682800293     
           1  -83.418795975281569        12.558653831481934       -3.2081999778747559     
           1  -82.001240825518096        12.530805587768555       -3.2610347270965576     
           3  -81.356546758905864        12.523386001586914       -3.2445824146270752     
           4  -83.286627151316907        12.550529479980469       -3.2803556919097900     
           1  -83.754216901933972        12.558744430541992       -3.2357091903686523     
           2  -83.732801128577321        12.548768997192383       -3.2245345115661621     
           1  -81.667259743401331        12.555621147155762       -3.3362185955047607     
           1  -82.897659155072702        12.561923980712891       -3.3094472885131836     
           2  -83.700498556389903        12.557656288146973       -3.2253251075744629     
          10  -83.659381969287750        12.563639640808105       -3.2500407695770264     
           2  -83.423911947692858        12.541044235229492       -3.2334449291229248     
           1  -83.444373516097784        12.545672416687012       -3.2580304145812988     
           1  -83.039634241271415        12.574693679809570       -3.2752149105072021     
           2  -81.831798266674269        12.522746086120605       -3.1876823902130127     
           5  -83.428489111820966        12.540709495544434       -3.2280082702636719     
           1  -83.532028569307244        12.563675880432129       -3.2771990299224854     
           1  -83.811935870859713        12.553060531616211       -3.2402195930480957     
           3  -82.502209814990550        12.559716224670410       -3.1766216754913330     
           2  -82.921494223732012        12.554515838623047       -3.1805994510650635     
           2  -83.214258191055137        12.554931640625000       -3.1920444965362549     
           1  -83.146394969249073        12.536123275756836       -3.2192027568817139     
           1  -83.334139998154882        12.561413764953613       -3.2911283969879150     
           1  -82.871783712474411        12.534100532531738       -3.2345163822174072     
           1  -82.006925753861623        12.543361663818359       -3.3048710823059082     
           4  -83.400912807883088        12.540261268615723       -3.2282135486602783     
           3  -83.467411944302029        12.542407989501953       -3.2391245365142822     
           3  -83.662368697772905        12.558765411376953       -3.2695510387420654     
           1  -83.734588329105165        12.561213493347168       -3.2528173923492432     
           3  -82.630584552981873        12.558233261108398       -3.1775081157684326     
           1  -82.831303993914645        12.552681922912598       -3.1752548217773438     
           1  -83.070733045579402        12.553881645202637       -3.1849992275238037     
           2  -82.972278291439608        12.557771682739258       -3.1876337528228760     
           4  -82.550930105800958        12.572332382202148       -3.2144196033477783     
           2  -81.060602912862095        12.583962440490723       -3.3503470420837402     
           1  -81.650098860906525        12.586263656616211       -3.3181569576263428     
           3  -83.258635343872811        12.568324089050293       -3.2894423007965088     
          10  -83.785872938183729        12.557577133178711       -3.2534327507019043     
           2  -83.356004702033431        12.568912506103516       -3.2445380687713623     
           2  -83.341894548664342        12.567568778991699       -3.2849798202514648     
           1  -83.816786261290261        12.554332733154297       -3.2393701076507568     
           1  -82.028508518807115        12.583555221557617       -3.3099400997161865     
           6  -83.398874521106137        12.562371253967285       -3.2170178890228271     
           2  -83.088523948137635        12.545915603637695       -3.1800897121429443     
           5  -83.763961488337912        12.555440902709961       -3.2569983005523682     
           1  -83.544172288653286        12.543064117431641       -3.2176513671875000     
           3  -83.356130192910911        12.549113273620605       -3.1928596496582031     
           2  -83.024126692095720        12.568402290344238       -3.2190001010894775     
           2  -83.156863593151613        12.565044403076172       -3.2991616725921631     
           3  -83.681053605646426        12.548763275146484       -3.2160985469818115     
           1  -82.387894057364235        12.568208694458008       -3.3269424438476563     
           4  -83.210702168703818        12.572280883789063       -3.2599027156829834     
           2  -83.531231167626316        12.553793907165527       -3.2740750312805176     
           3  -83.690506786550998        12.548063278198242       -3.2448728084564209     
           1  -83.244058617230266        12.537646293640137       -3.2238845825195313     
           2  -83.700266480903679        12.549030303955078       -3.2481775283813477     
           1  -83.485989845525026        12.543392181396484       -3.2065234184265137     
           1  -82.478866418060448        12.538385391235352       -3.1599380970001221     
           1  -82.594896956934164        12.536455154418945       -3.1665325164794922     
           1  -83.554267541732770        12.550805091857910       -3.2048389911651611     
           1  -83.592965953085297        12.557957649230957       -3.2171208858489990     
           5  -83.464644523604974        12.545183181762695       -3.2007291316986084     
           2  -83.386706868314064        12.540092468261719       -3.2115976810455322     
          18  -83.800543691953834        12.557045936584473       -3.2497737407684326     
           2  -83.236627197964225        12.549163818359375       -3.2794907093048096     
           1  -80.157471354663414        12.556589126586914       -3.3660519123077393     
