 # Number of iterations in MCMC :       100000
 # Weight   -ln(L/L_{max})    A    bw 
           2   9999999983.3645248        12.628135681152344       -3.4412362575531006     
           2   9999999983.6780796        12.572998046875000       -3.2512705326080322     
           1   9999999983.6407242        12.579334259033203       -3.3758642673492432     
           6   9999999983.0596142        12.607522010803223       -3.4110829830169678     
           5   9999999983.0138016        12.600008964538574       -3.3901407718658447     
           1   9999999984.0970154        12.629981994628906       -3.3896265029907227     
           3   9999999984.4487534        12.573825836181641       -3.2192690372467041     
           3   9999999984.7693481        12.541102409362793       -3.1609406471252441     
           4   9999999983.2427540        12.573198318481445       -3.2892417907714844     
           2   9999999983.0247784        12.608994483947754       -3.3966138362884521     
           2   9999999983.0373783        12.596455574035645       -3.3849802017211914     
           5   9999999983.4425583        12.624909400939941       -3.4709951877593994     
           4   9999999983.1320324        12.579896926879883       -3.3367178440093994     
           3   9999999983.1531200        12.576008796691895       -3.3114695549011230     
           7   9999999984.5427151        12.583756446838379       -3.4253902435302734     
           2   9999999984.1058731        12.648261070251465       -3.5256865024566650     
           2   9999999983.6094112        12.634925842285156       -3.4865725040435791     
           1   9999999983.1451015        12.606977462768555       -3.4210548400878906     
           1   9999999983.7685890        12.636899948120117       -3.4407122135162354     
           6   9999999983.2160320        12.619521141052246       -3.4424273967742920     
           1   9999999983.7772045        12.608244895935059       -3.4623351097106934     
           1   9999999984.0542603        12.626956939697266       -3.5106892585754395     
           3   9999999983.5743217        12.628334045410156       -3.4845001697540283     
           6   9999999984.3518486        12.560734748840332       -3.2001504898071289     
           1   9999999983.9746799        12.548634529113770       -3.2191827297210693     
           2   9999999985.2012348        12.550259590148926       -3.1523764133453369     
           2   9999999985.8255863        12.568671226501465       -3.1670172214508057     
           7   9999999985.2447128        12.543879508972168       -3.1424388885498047     
           2   9999999983.1525364        12.597388267517090       -3.3354971408843994     
           2   9999999984.2725124        12.585464477539063       -3.4213573932647705     
           2   9999999983.8524551        12.573188781738281       -3.2424988746643066     
           2   9999999983.5229149        12.595536231994629       -3.3065214157104492     
           1   9999999986.2618618        12.547096252441406       -3.1146087646484375     
           1   9999999984.9713364        12.526112556457520       -3.1612267494201660     
          12   9999999982.9947758        12.590504646301270       -3.3434197902679443     
           3   9999999983.3529568        12.584878921508789       -3.2919452190399170     
           4   9999999984.8458939        12.642528533935547       -3.4066002368927002     
           1   9999999983.9857845        12.647619247436523       -3.4968822002410889     
           1   9999999983.6868706        12.576554298400879       -3.3687453269958496     
           3   9999999983.4215279        12.586523056030273       -3.2909376621246338     
           2   9999999983.0565243        12.594660758972168       -3.3824975490570068     
           3   9999999983.3318367        12.569055557250977       -3.3084037303924561     
           4   9999999985.0987492        12.572858810424805       -3.4090967178344727     
           4   9999999984.1240883        12.547458648681641       -3.2040896415710449     
           1   9999999984.8194313        12.639844894409180       -3.3971357345581055     
           4   9999999983.1655579        12.597614288330078       -3.3349621295928955     
           2   9999999985.0576286        12.655931472778320       -3.5881741046905518     
           1   9999999983.1758690        12.587611198425293       -3.3729197978973389     
           3   9999999983.0258541        12.594422340393066       -3.3425869941711426     
           3   9999999983.1517487        12.610191345214844       -3.3759379386901855     
           5   9999999983.0942535        12.612123489379883       -3.4209809303283691     
           5   9999999982.9729767        12.595302581787109       -3.3660895824432373     
           5   9999999983.4919205        12.575200080871582       -3.3524458408355713     
           2   9999999983.1468430        12.613062858581543       -3.4300296306610107     
           6   9999999984.9304752        12.664872169494629       -3.5137710571289063     
           2   9999999985.0223045        12.668863296508789       -3.5393071174621582     
           1   9999999983.1504135        12.610933303833008       -3.3789522647857666     
           3   9999999983.1976490        12.616242408752441       -3.4392154216766357     
           2   9999999984.1756191        12.650634765625000       -3.4877145290374756     
           3   9999999983.3837318        12.612499237060547       -3.4503436088562012     
           1   9999999983.0407467        12.603630065917969       -3.4020195007324219     
           1   9999999983.6221085        12.604719161987305       -3.3267655372619629     
           1   9999999984.9241714        12.538347244262695       -3.2728919982910156     
           3   9999999985.6228619        12.520663261413574       -3.2178339958190918     
           4   9999999983.4769611        12.585355758666992       -3.3867001533508301     
           1   9999999983.0927410        12.604934692382813       -3.3638463020324707     
           2   9999999983.1498394        12.581158638000488       -3.3044147491455078     
           1   9999999985.2392178        12.597489356994629       -3.4839074611663818     
           1   9999999983.8852348        12.612512588500977       -3.4763519763946533     
           2   9999999983.2031860        12.602341651916504       -3.3451435565948486     
           4   9999999983.1529980        12.616602897644043       -3.4048078060150146     
           4   9999999984.0390339        12.584012985229492       -3.2560925483703613     
           3   9999999983.2084293        12.608087539672852       -3.3629066944122314     
           2   9999999983.7418022        12.554233551025391       -3.2399101257324219     
           1   9999999983.4001827        12.565264701843262       -3.2933514118194580     
           1   9999999983.5927258        12.634432792663574       -3.4458160400390625     
           2   9999999986.0573788        12.510622978210449       -3.0972123146057129     
           4   9999999983.8081512        12.553437232971191       -3.2311699390411377     
           2   9999999983.3270779        12.626278877258301       -3.4539568424224854     
           4   9999999983.0449696        12.600979804992676       -3.3572671413421631     
           2   9999999983.0049381        12.588584899902344       -3.3393554687500000     
           4   9999999983.0085373        12.589574813842773       -3.3564689159393311     
           1   9999999983.1039944        12.603909492492676       -3.3591768741607666     
           2   9999999983.5934620        12.635970115661621       -3.4586141109466553     
           1   9999999983.1848049        12.574272155761719       -3.3088908195495605     
           2   9999999983.0295429        12.588303565979004       -3.3314032554626465     
           3   9999999983.0895424        12.582103729248047       -3.3152890205383301     
           2   9999999983.1626034        12.593076705932617       -3.3888993263244629     
           1   9999999982.9754753        12.598910331726074       -3.3775160312652588     
           3   9999999984.3320122        12.591808319091797       -3.2638053894042969     
           1   9999999984.2562313        12.578577041625977       -3.2360179424285889     
           1   9999999983.9437084        12.581436157226563       -3.2543656826019287     
           2   9999999983.9494705        12.590707778930664       -3.2752447128295898     
           4   9999999984.0239086        12.625411987304688       -3.3759591579437256     
           2   9999999985.6668320        12.653130531311035       -3.6091058254241943     
           1   9999999984.8311787        12.658614158630371       -3.5764596462249756     
           3   9999999983.4129601        12.615859031677246       -3.4580929279327393     
           2   9999999983.0198116        12.590246200561523       -3.3621082305908203     
           5   9999999983.0673275        12.607992172241211       -3.3785698413848877     
           2   9999999983.1577148        12.575742721557617       -3.3108541965484619     
           1   9999999983.5000210        12.630088806152344       -3.4774141311645508     
           2   9999999984.4036064        12.657104492187500       -3.5161561965942383     
           2   9999999984.6205769        12.653902053833008       -3.5640778541564941     
           2   9999999983.2433529        12.622355461120605       -3.4441790580749512     
           1   9999999984.1790829        12.571866989135742       -3.2257220745086670     
           5   9999999983.0007076        12.605962753295898       -3.3874039649963379     
           2   9999999983.4317627        12.566742897033691       -3.2647080421447754     
           3   9999999983.6868172        12.589444160461426       -3.4097685813903809     
           2   9999999983.5382576        12.633187294006348       -3.4788217544555664     
          10   9999999983.0165882        12.603689193725586       -3.3711106777191162     
           2   9999999983.3677006        12.622896194458008       -3.4074296951293945     
           1   9999999985.1353912        12.585631370544434       -3.2238223552703857     
           2   9999999985.8187809        12.680050849914551       -3.5489974021911621     
           2   9999999984.6974487        12.645822525024414       -3.5637359619140625     
           1   9999999989.2090588        12.662434577941895       -3.7147340774536133     
           2   9999999985.5202293        12.656647682189941       -3.6079552173614502     
           3   9999999984.4105263        12.631820678710938       -3.5334699153900146     
           1   9999999983.3036976        12.618382453918457       -3.4527635574340820     
           1   9999999984.1705170        12.640568733215332       -3.5327973365783691     
           4   9999999984.5691833        12.647428512573242       -3.5590417385101318     
           1   9999999984.8083324        12.613418579101563       -3.3080523014068604     
           2   9999999984.7885437        12.610403060913086       -3.2997024059295654     
           1   9999999985.0823460        12.550776481628418       -3.1573371887207031     
           5   9999999984.8763256        12.574661254882813       -3.2067661285400391     
           2   9999999984.7750454        12.565827369689941       -3.1925773620605469     
           1   9999999983.4756966        12.574508666992188       -3.3486759662628174     
           2   9999999983.4809418        12.582960128784180       -3.2801299095153809     
           4   9999999983.2860775        12.619812011718750       -3.4016797542572021     
           5   9999999983.4927597        12.569098472595215       -3.3273789882659912     
           1   9999999985.1213360        12.550312042236328       -3.3318116664886475     
           2   9999999983.7793331        12.620820999145508       -3.3711695671081543     
           3   9999999983.2538185        12.621974945068359       -3.4179439544677734     
           2   9999999984.6502151        12.545227050781250       -3.1694097518920898     
           6   9999999985.9490147        12.605928421020508       -3.2550997734069824     
           1   9999999986.2903423        12.666802406311035       -3.4543035030364990     
           1   9999999983.9685898        12.612298965454102       -3.3342406749725342     
           1   9999999983.5427494        12.626938819885254       -3.4810094833374023     
           3   9999999983.5846615        12.559469223022461       -3.2836551666259766     
           1   9999999983.4741287        12.572340965270996       -3.2635803222656250     
           3   9999999983.1059780        12.579315185546875       -3.3256616592407227     
           3   9999999983.6458263        12.620425224304199       -3.4798233509063721     
           1   9999999983.5798721        12.626371383666992       -3.4834101200103760     
           1   9999999984.5046482        12.618693351745605       -3.5126309394836426     
